Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
215,Treylon Burks,23,TEN,WR,11,9,5,18,0,0,60.0,9,3.6,1.6,0.5,0,,BurkTr00
216,Brandin Cooks,30,DAL,WR,16,15,5,35,0,1,60.0,14,7.0,2.2,0.3,1,,CookBr00
217,Erik Ezukanma,23,MIA,WR,2,0,5,22,0,1,60.0,12,4.4,11.0,2.5,0,,EzukEr00
218,Xavier Hutchinson,23,HOU,WR,16,0,5,49,0,3,100.0,17,9.8,3.1,0.3,0,,HutcXa00
219,Kyle Juszczyk,32,SFO,FB,17,16,5,6,0,2,60.0,3,1.2,0.4,0.3,0,PBAP-1,JuszKy00
220,Drew Lock,27,SEA,QB,4,2,5,14,0,1,20.0,11,2.8,3.5,1.3,0,,LockDr00
221,Kene Nwangwu,25,MIN,RB,9,0,5,13,0,0,40.0,8,2.6,1.4,0.6,0,,NwanKe00
222,Brandon Powell,28,MIN,WR,17,2,5,17,0,1,60.0,9,3.4,1.0,0.3,1,,PoweBr00
223,Malik Willis,24,TEN,QB,3,0,5,21,0,1,40.0,11,4.2,7.0,1.7,1,,WillMa12
224,Jameis Winston,29,NOR,QB,7,0,5,-6,0,0,0.0,-1,-1.2,-0.9,0.7,0,,WinsJa00
225,Jamal Agnew,28,JAX,WR,11,1,4,-2,0,0,0.0,1,-0.5,-0.2,0.4,1,,AgneJa00
226,Brandon Bolden,33,LVR,RB,17,0,4,31,1,2,50.0,26,7.8,1.8,0.2,0,,BoldBr00
227,Tim Boyle,29,NYJ,QB,3,2,4,5,0,3,75.0,2,1.3,1.7,1.3,2,,BoylTi00
228,Elijah Dotson,24,LAC,RB,4,0,4,6,0,0,25.0,2,1.5,1.5,1.0,0,,DotsEl00
229,Devin Duvernay,26,BAL,WR,13,1,4,15,0,0,50.0,8,3.8,1.2,0.3,0,,DuveDe00
230,Chris Godwin,27,TAM,WR,17,17,4,38,1,3,75.0,19,9.5,2.2,0.2,0,,GodwCh00
231,Marquise Goodwin,33,CLE,WR,12,0,4,33,0,2,50.0,20,8.3,2.8,0.3,0,,GoodMa00
232,Deonte Harty,26,BUF,WR,16,1,4,0,0,0,25.0,,0.0,0.0,0.3,2,,HarrDe07
233,Jakobi Meyers,27,LVR,WR,16,16,4,24,2,3,75.0,17,6.0,1.5,0.3,0,,MeyeJa01
234,D.J. Moore,26,CHI,WR,17,17,4,21,1,1,50.0,16,5.3,1.2,0.2,1,,MoorD.00
235,Amon-Ra St. Brown,24,DET,WR,16,16,4,24,0,2,75.0,11,6.0,1.5,0.3,1,PBAP-1,StxxAm00
236,Christian Watson,24,GNB,WR,9,9,4,11,0,1,25.0,13,2.8,1.2,0.4,0,,WatsCh00
237,Garrett Wilson,23,NYJ,WR,17,17,4,0,0,1,50.0,,0.0,0.0,0.2,2,,WilsGa00
238,Matt Barkley,33,JAX,QB,1,0,3,-3,0,0,0.0,-1,-1.0,-3.0,3.0,0,,BarkMa00
239,Jacoby Brissett,31,WAS,QB,3,0,3,19,0,0,66.7,10,6.3,6.3,1.0,0,,BrisJa00
240,DeAndre Carter,30,LVR,WR,17,1,3,18,0,2,66.7,15,6.0,1.1,0.2,2,,CartDe02
241,Ja'Marr Chase,23,CIN,WR,16,16,3,-6,0,0,0.0,2,-2.0,-0.4,0.2,1,PB,ChasJa00
242,Sean Clifford,25,GNB,QB,2,0,3,-2,0,0,0.0,,-0.7,-1.0,1.5,1,,ClifSe00
243,Andy Dalton,36,CAR,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,1.0,0,,DaltAn00
244,Gerald Everett,29,LAC,TE,15,12,3,10,0,0,33.3,6,3.3,0.7,0.2,3,,EverGe00
245,Derrick Gore,29,WAS,RB,6,0,3,26,0,1,33.3,23,8.7,4.3,0.5,0,,GoreDe00
246,Brian Hoyer,38,LVR,QB,3,1,3,-3,0,0,0.0,-1,-1.0,-1.0,1.0,0,,HoyeBr00
247,Quentin Johnston,22,LAC,WR,17,10,3,9,0,0,33.3,6,3.0,0.5,0.2,0,,JohnQu02
248,Cole Kmet,24,CHI,TE,17,17,3,2,0,2,66.7,1,0.7,0.1,0.2,1,,KmetCo00
249,Zonovan Knight,22,DET,RB,2,0,3,13,0,0,33.3,8,4.3,6.5,1.5,0,,KnigZo00
250,Ray-Ray McCloud,27,SFO,WR,12,1,3,30,0,2,100.0,15,10.0,2.5,0.3,1,,McClRa00
251,Isaiah McKenzie,28,IND,WR,13,2,3,14,0,0,33.3,7,4.7,1.1,0.2,3,,McKeIs00
252,Bo Melton,24,GNB,WR,5,1,3,21,0,2,100.0,12,7.0,4.2,0.6,0,,MeltBo00
253,Ty Montgomery,30,NWE,RB,13,0,3,9,0,0,33.3,7,3.0,0.7,0.2,0,,MontTy01
254,Skyy Moore,23,KAN,WR,14,8,3,23,0,1,100.0,11,7.7,1.6,0.2,0,,MoorSk01
255,Devine Ozigbo,27,DET,RB,3,0,3,5,0,1,66.7,4,1.7,1.7,1.0,0,,OzigDe01
256,Trey Palmer,22,TAM,WR,17,8,3,22,0,1,66.7,13,7.3,1.3,0.2,3,,PalmTr00
257,George Pickens,22,PIT,WR,17,16,3,18,0,2,66.7,16,6.0,1.1,0.2,3,,PickGe00
258,Brett Rypien,27,LAR,QB,2,1,3,19,0,1,66.7,8,6.3,9.5,1.5,2,,RypiBr00
259,Tyquan Thornton,23,NWE,WR,9,3,3,51,0,1,66.7,39,17.0,5.7,0.3,0,,ThorTy00
260,Jaylen Waddle,25,MIA,WR,14,14,3,12,0,1,33.3,12,4.0,0.9,0.2,0,,WaddJa00
261,Jonathan Ward,26,TEN,RB,7,0,3,11,0,1,33.3,8,3.7,1.6,0.4,0,,WardJo00
262,Jameson Williams,22,DET,WR,12,10,3,29,1,1,100.0,19,9.7,2.4,0.3,1,,WillJa11
263,Keenan Allen,31,LAC,WR,13,13,2,6,0,1,100.0,4,3.0,0.5,0.2,2,PB,AlleKe00
264,Nick Bawden,27,NYJ,FB,16,2,2,4,1,1,50.0,3,2.0,0.3,0.1,0,,BawdNi00
265,Tyler Boyd,29,CIN,WR,17,13,2,11,0,1,100.0,6,5.5,0.6,0.1,0,,BoydTy00
266,Teddy Bridgewater,31,DET,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,,BridTe00
267,Marquise Brown,26,ARI,WR,14,14,2,23,0,1,50.0,29,11.5,1.6,0.1,0,,BrowMa04
268,Ashtyn Davis,27,NYJ,S,17,5,2,3,0,1,50.0,4,1.5,0.2,0.1,1,,DaviAs00
269,D'Wayne Eskridge,26,SEA,WR,4,0,2,5,0,1,50.0,10,2.5,1.3,0.5,0,,EskrDW00
270,Chris Evans,26,CIN,RB,8,0,2,12,0,0,0.0,7,6.0,1.5,0.3,0,,EvanCh02
271,Jake Funk,25,IND,RB,4,0,2,10,0,0,0.0,7,5.0,2.5,0.5,0,,FunkJa00
272,DeAndre Hopkins,31,TEN,WR,17,16,2,9,0,0,100.0,5,4.5,0.5,0.1,0,,HopkDe00
273,Alec Ingold,27,MIA,FB,17,13,2,0,0,0,0.0,,0.0,0.0,0.1,0,PB,IngoAl01
274,Charlie Jones,25,CIN,WR,11,0,2,13,0,1,100.0,7,6.5,1.2,0.2,0,,JoneCh11
275,Case Keenum,35,HOU,QB,2,2,2,1,0,0,0.0,1,0.5,0.5,1.0,1,,KeenCa00
276,Davis Mills,25,HOU,QB,6,0,2,9,0,0,50.0,9,4.5,1.5,0.3,0,,MillDa02
277,Darnell Mooney,26,CHI,WR,15,14,2,5,0,0,0.0,3,2.5,0.3,0.1,0,,MoonDa00
278,Chris Moore,30,TEN,WR,17,5,2,39,0,1,50.0,38,19.5,2.3,0.1,1,,MoorCh00
279,Chigoziem Okonkwo,24,TEN,TE,17,11,2,6,0,1,50.0,4,3.0,0.4,0.1,0,,OkonCh00
280,Nathan Peterman,29,CHI,QB,2,0,2,-4,0,0,0.0,-2,-2.0,-2.0,1.0,1,,PeteNa00
281,Adam Prentice,26,NOR,FB,13,1,2,12,0,1,100.0,7,6.0,0.9,0.2,1,,PrenAd00
282,Jalen Reeves-Maybin,28,DET,LB,17,0,2,3,0,1,50.0,3,1.5,0.2,0.1,0,PBAP-2,ReevJa00
283,Ben Skowronek,26,LAR,WR,17,0,2,9,0,1,50.0,11,4.5,0.5,0.1,0,,SkowBe00
284,Kenyan Drake,29,2TM,RB,3,0,2,0,0,0,0.0,,0.0,0.0,0.7,1,,DrakKe00
284,Kenyan Drake,29,BAL,RB,2,0,1,0,0,0,0.0,,0.0,0.0,0.5,1,,DrakKe00
284,Kenyan Drake,29,GNB,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,,DrakKe00
285,Jordan Addison,21,MIN,WR,17,14,1,2,0,0,0.0,2,2.0,0.1,0.1,0,,AddiJo00
286,Mark Andrews,28,BAL,TE,10,9,1,0,0,0,0.0,,0.0,0.0,0.1,1,,AndrMa00
287,Rashod Bateman,24,BAL,WR,16,12,1,18,0,1,100.0,18,18.0,1.1,0.1,0,,BateRa00
288,Braxton Berrios,28,MIA,WR,16,1,1,11,0,1,100.0,11,11.0,0.7,0.1,1,,BerrBr00
289,Jake Bobo,25,SEA,WR,17,0,1,3,1,1,100.0,3,3.0,0.2,0.1,0,,BoboJa00
290,Kendrick Bourne,28,NWE,WR,8,5,1,4,0,1,100.0,4,4.0,0.5,0.1,1,,BourKe00
291,Dyami Brown,24,WAS,WR,17,1,1,0,0,0,0.0,,0.0,0.0,0.1,0,,BrowDy00
292,Noah Brown,27,HOU,WR,10,7,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,0,,BrowNo00
293,Jason Cabinda,27,DET,FB,4,0,1,0,0,0,0.0,,0.0,0.0,0.3,0,,CabiJa00
294,Nico Collins,24,HOU,WR,15,10,1,7,0,0,100.0,7,7.0,0.5,0.1,1,,CollNi00
295,Tyler Conklin,28,NYJ,TE,17,12,1,0,0,0,0.0,,0.0,0.0,0.1,0,,ConkTy00
296,Jashaun Corbin,23,NYG,RB,6,0,1,1,0,1,100.0,1,1.0,0.2,0.2,0,,CorbJa01
297,Gabriel Davis,24,BUF,WR,17,17,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,1,,DaviGa01
298,Stefon Diggs,30,BUF,WR,17,17,1,5,0,1,100.0,5,5.0,0.3,0.1,2,PB,DiggSt00
299,Greg Dortch,25,ARI,WR,16,4,1,5,0,0,100.0,5,5.0,0.3,0.1,0,,DortGr01
300,Blake Gillikin,25,ARI,P,13,0,1,10,0,1,100.0,10,10.0,0.8,0.1,0,,GillBl00
301,Dallas Goedert,28,PHI,TE,14,14,1,1,0,0,0.0,1,1.0,0.1,0.1,0,,GoedDa00
302,Kylen Granson,25,IND,TE,15,7,1,2,0,1,100.0,2,2.0,0.1,0.1,0,,GranKy00
303,Noah Gray,24,KAN,TE,17,10,1,1,0,0,0.0,1,1.0,0.1,0.1,0,,GrayNo00
304,C.J. Ham,30,MIN,FB,17,5,1,7,0,0,100.0,7,7.0,0.4,0.1,0,PB,HamxC.00
305,Mecole Hardman,25,2TM,WR,11,2,1,3,0,0,0.0,3,3.0,0.3,0.1,1,,HardMe00
305,Mecole Hardman,25,NYJ,WR,5,0,0,0,0,0,,,,0.0,0.0,0,,HardMe00
305,Mecole Hardman,25,KAN,WR,6,2,1,3,0,0,0.0,3,3.0,0.5,0.2,1,,HardMe00
306,Johnny Hekker,33,CAR,P,17,0,1,-11,0,0,0.0,-11,-11.0,-0.6,0.1,1,,HekkJo00
307,Peyton Hendershot,24,DAL,TE,8,1,1,0,0,0,0.0,,0.0,0.0,0.1,0,,HendPe01
308,Connor Heyward,24,PIT,TE,17,7,1,0,0,0,0.0,,0.0,0.0,0.1,0,,HeywCo00
309,KhaDarel Hodge,28,ATL,WR,17,4,1,0,0,0,0.0,,0.0,0.0,0.1,1,,HodgKh00
310,Amani Hooker,25,TEN,DB,13,13,1,2,0,1,100.0,2,2.0,0.2,0.1,0,,HookAm00
311,Evan Hull,23,IND,RB,1,0,1,1,0,0,0.0,1,1.0,1.0,1.0,0,,HullEv00
312,Rakim Jarrett,22,TAM,WR,10,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,,JarrRa00
313,Justin Jefferson,24,MIN,WR,10,9,1,-12,0,0,0.0,-12,-12.0,-1.2,0.1,1,,JeffJu00
314,Van Jefferson,27,2TM,WR,17,9,1,4,0,0,100.0,4,4.0,0.2,0.1,0,,JeffVa00
314,Van Jefferson,27,LAR,WR,5,4,1,4,0,0,100.0,4,4.0,0.8,0.2,0,,JeffVa00
314,Van Jefferson,27,ATL,WR,12,5,0,0,0,0,,,,0.0,0.0,0,,JeffVa00
315,Cameron Johnston,31,HOU,P,13,0,1,-23,0,0,0.0,-23,-23.0,-1.8,0.1,0,,JohnCa02
316,Christian Kirk,27,JAX,WR,12,12,1,6,0,0,100.0,6,6.0,0.5,0.1,2,,KirkCh01
317,George Kittle,30,SFO,TE,16,16,1,2,0,1,100.0,2,2.0,0.1,0.1,0,PBAP-1,KittGe00
318,Cooper Kupp,30,LAR,WR,12,12,1,-3,0,0,0.0,-3,-3.0,-0.3,0.1,0,,KuppCo00
319,Sam LaPorta,22,DET,TE,17,14,1,4,0,0,100.0,4,4.0,0.2,0.1,0,PBAP-2AP ORoY-3,LaPoSa01
320,John Metchie,23,HOU,WR,16,0,1,4,0,0,100.0,4,4.0,0.3,0.1,0,,MetcJo00
321,Nick Niemann,26,LAC,LB,17,3,1,0,0,0,0.0,,0.0,0.0,0.1,1,,NiemNi00
322,Keisean Nixon,26,GNB,CB,17,13,1,11,0,1,100.0,11,11.0,0.6,0.1,3,AP-1,NixoKe00
323,Josh Palmer,24,LAC,WR,10,6,1,6,0,0,100.0,6,6.0,0.6,0.1,1,,PalmJo00
324,Kyle Pitts,23,ATL,TE,17,15,1,-4,0,0,0.0,-4,-4.0,-0.2,0.1,0,,PittKy00
325,Jalen Reagor,24,NWE,WR,11,1,1,17,0,1,100.0,17,17.0,1.5,0.1,0,,ReagJa00
326,Rashee Rice,23,KAN,WR,16,8,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,2,AP ORoY-6,RiceRa01
327,Demarcus Robinson,29,LAR,WR,16,4,1,23,0,1,100.0,23,23.0,1.4,0.1,2,,RobiDe01
328,James Robinson,25,GNB,RB,1,0,1,2,0,0,0.0,2,2.0,2.0,1.0,0,,RobiJa00
329,Khalil Shakir,23,BUF,WR,17,10,1,10,0,1,100.0,10,10.0,0.6,0.1,1,,ShakKh00
330,Sterling Shepard,30,NYG,WR,15,2,1,6,0,0,100.0,6,6.0,0.4,0.1,1,,ShepSt00
331,Steven Sims,26,HOU,WR,3,0,1,1,0,0,0.0,1,1.0,0.3,0.3,0,,SimsSt00
332,Jonnu Smith,28,ATL,TE,17,6,1,0,0,0,0.0,,0.0,0.0,0.1,1,,SmitJo01
333,Ryan Stonehouse,24,TEN,P,12,0,1,-11,0,0,0.0,-11,-11.0,-0.9,0.1,1,,StonRy00
334,Trent Taylor,29,CHI,WR,17,0,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,2,,TaylTr02
335,Adam Thielen,33,CAR,WR,17,17,1,6,0,0,100.0,6,6.0,0.4,0.1,2,,ThieAd00
336,Logan Thomas,32,WAS,TE,16,15,1,2,0,1,100.0,2,2.0,0.1,0.1,2,,ThomLo00
337,Cedric Tillman,23,CLE,WR,14,3,1,8,0,0,100.0,8,8.0,0.6,0.1,0,,TillCe01
338,Kyle Trask,25,TAM,QB,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0.5,0,,TrasKy00
339,Zeke Turner,27,ARI,LB,16,1,1,2,0,1,100.0,2,2.0,0.1,0.1,0,,TurnZe00
340,Tress Way,33,WAS,P,17,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,,WayxTr00
341,Dontayvion Wicks,22,GNB,WR,15,6,1,1,0,0,0.0,1,1.0,0.1,0.1,3,,WickDo00
342,Jonathan Williams,29,WAS,RB,1,0,1,-2,0,0,0.0,-2,-2.0,-2.0,1.0,0,,WillJo07
343,Mike Williams,29,LAC,WR,3,3,1,3,0,0,0.0,3,3.0,1.0,0.3,0,,WillMi07
344,Robert Woods,31,HOU,WR,14,11,1,7,0,0,100.0,7,7.0,0.5,0.1,0,,WoodRo02
345,Logan Woodside,28,ATL,QB,1,0,1,6,0,0,100.0,6,6.0,6.0,1.0,0,,WoodLo00
346,Ty Zentner,25,TEN,P,5,0,1,0,0,0,0.0,,0.0,0.0,0.2,1,,ZentTy00
347,Davante Adams,31,LVR,WR,17,17,0,0,0,0,,,,0.0,0.0,0,,AdamDa01
348,Nate Adkins,24,DEN,TE,10,1,0,0,0,0,,,,0.0,0.0,0,,AdkiNa00
349,Nelson Agholor,30,BAL,WR,17,3,0,0,0,0,,,,0.0,0.0,1,,AghoNe00
350,Brandon Aiyuk,25,SFO,WR,16,16,0,0,0,0,,,,0.0,0.0,1,AP-2,AiyuBr00
351,Jordan Akins,31,CLE,TE,17,4,0,0,0,0,,,,0.0,0.0,0,,AkinJo00
352,Mo Alie-Cox,30,IND,TE,17,7,0,0,0,0,,,,0.0,0.0,0,,AlieMo00
353,Davis Allen,22,LAR,TE,15,1,0,0,0,0,,,,0.0,0.0,0,,AlleDa02
354,Alex Armah,29,WAS,RB,8,0,0,0,0,0,,,,0.0,0.0,0,,ArmaAl00
355,John Bates,26,WAS,TE,17,4,0,0,0,0,,,,0.0,0.0,0,,BateJo00
356,Odell Beckham Jr.,31,BAL,WR,14,6,0,0,0,0,,,,0.0,0.0,1,,BeckOd00
357,Blake Bell,32,KAN,TE,17,3,0,0,0,0,,,,0.0,0.0,1,,BellBl00
358,David Bell,23,CLE,WR,15,3,0,0,0,0,,,,0.0,0.0,0,,BellDa02
359,Ronnie Bell,23,SFO,WR,17,0,0,0,0,0,,,,0.0,0.0,1,,BellRo01
360,Daniel Bellinger,23,NYG,TE,17,13,0,0,0,0,,,,0.0,0.0,0,,BellDa00
361,Kayshon Boutte,21,NWE,WR,5,0,0,0,0,0,,,,0.0,0.0,0,,BoutKa00
362,Miles Boykin,27,PIT,WR,17,0,0,0,0,0,,,,0.0,0.0,0,,BoykMi00
363,Ben Bredeson,25,NYG,G,16,16,0,0,0,0,,,,0.0,0.0,0,,BredBe00
364,Jalen Brooks,23,DAL,WR,7,0,0,0,0,0,,,,0.0,0.0,0,,BrooJa03
365,A.J. Brown,26,PHI,WR,17,17,0,0,0,0,,,,0.0,0.0,2,PBAP-2,BrowAJ00
366,Pharaoh Brown,29,NWE,TE,17,11,0,0,0,0,,,,0.0,0.0,1,,BrowPh01
367,Jason Brownlee,24,NYJ,WR,7,5,0,0,0,0,,,,0.0,0.0,0,,BrowJa07
368,Damiere Byrd,30,ATL,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,ByrdDa00
369,Lawrence Cager,26,NYG,TE,11,0,0,0,0,0,,,,0.0,0.0,0,,CageLa01
370,Grant Calcaterra,25,PHI,TE,15,1,0,0,0,0,,,,0.0,0.0,0,,CalcGr00
371,Parris Campbell,26,NYG,WR,12,3,0,0,0,0,,,,0.0,0.0,0,,CampPa00
372,DJ Chark,27,CAR,WR,15,11,0,0,0,0,,,,0.0,0.0,2,,CharDJ00
373,Irvin Charles,26,NYJ,WR,12,0,0,0,0,0,,,,0.0,0.0,0,,CharIr00
374,Robbie Chosen,30,MIA,WR,9,0,0,0,0,0,,,,0.0,0.0,0,,AndeRo04
375,Chase Claypool,25,2TM,WR,12,2,0,0,0,0,,,,0.0,0.0,0,,ClayCh01
375,Chase Claypool,25,CHI,WR,3,2,0,0,0,0,,,,0.0,0.0,0,,ClayCh01
375,Chase Claypool,25,MIA,WR,9,0,0,0,0,0,,,,0.0,0.0,0,,ClayCh01
376,Randall Cobb,33,NYJ,WR,11,1,0,0,0,0,,,,0.0,0.0,0,,CobbRa00
377,Chris Conley,31,SFO,WR,8,0,0,0,0,0,,,,0.0,0.0,0,,ConlCh00
378,Elijah Cooks,25,JAX,WR,9,0,0,0,0,0,,,,0.0,0.0,0,,CookEl00
379,Amari Cooper,29,CLE,WR,15,15,0,0,0,0,,,,0.0,0.0,2,PB,CoopAm00
380,Britain Covey,26,PHI,WR,16,0,0,0,0,0,,,,0.0,0.0,2,,CoveBr00
381,River Cracraft,29,MIA,WR,10,1,0,0,0,0,,,,0.0,0.0,0,,CracRi00
382,Jamison Crowder,30,WAS,WR,17,0,0,0,0,0,,,,0.0,0.0,2,,CrowJa00
383,Josiah Deguara,26,GNB,TE,15,4,0,0,0,0,,,,0.0,0.0,0,,DeguJo00
384,Will Dissly,27,SEA,TE,16,14,0,0,0,0,,,,0.0,0.0,0,,DissWi00
385,Phillip Dorsett,30,DEN,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,DorsPh00
386,Khalil Dorsey,25,DET,CB,13,2,0,0,0,0,,,,0.0,0.0,0,,DorsKh00
387,Keelan Doss,27,LAC,WR,5,0,0,0,0,0,,,,0.0,0.0,0,,DossKe00
388,Jahan Dotson,23,WAS,WR,17,16,0,0,0,0,,,,0.0,0.0,0,,DotsJa00
389,Romeo Doubs,23,GNB,WR,17,16,0,0,0,0,,,,0.0,0.0,1,,DoubRo00
390,Colton Dowell,24,TEN,WR,10,1,0,0,0,0,,,,0.0,0.0,0,,DoweCo00
391,Josh Downs,22,IND,WR,17,9,0,0,0,0,,,,0.0,0.0,0,,DownJo00
392,Greg Dulcich,23,DEN,TE,2,1,0,0,0,0,,,,0.0,0.0,0,,DulcGr00
393,Payne Durham,23,TAM,TE,13,2,0,0,0,0,,,,0.0,0.0,0,,DurhPa00
394,Ross Dwelley,28,SFO,TE,12,0,0,0,0,0,,,,0.0,0.0,0,,DwelRo00
395,Brandin Echols,26,NYJ,CB,14,1,0,0,0,0,,,,0.0,0.0,0,,EchoBr00
396,Evan Engram,29,JAX,TE,17,15,0,0,0,0,,,,0.0,0.0,3,PB,EngrEv00
397,Alex Erickson,31,LAC,WR,8,3,0,0,0,0,,,,0.0,0.0,0,,EricAl01
398,Zach Ertz,33,ARI,TE,7,7,0,0,0,0,,,,0.0,0.0,0,,ErtzZa00
399,Mike Evans,30,TAM,WR,17,17,0,0,0,0,,,,0.0,0.0,0,PBAP-2,EvanMi00
400,Noah Fant,26,SEA,TE,17,17,0,0,0,0,,,,0.0,0.0,0,,FantNo00
401,Luke Farrell,26,JAX,TE,17,8,0,0,0,0,,,,0.0,0.0,0,,FarrLu00
402,Simi Fehoko,26,LAC,WR,6,0,0,0,0,0,,,,0.0,0.0,0,,FehoSi00
403,Jake Ferguson,24,DAL,TE,17,16,0,0,0,0,,,,0.0,0.0,0,PB,FergJa00
404,Tucker Fisk,24,ATL,TE,6,2,0,0,0,0,,,,0.0,0.0,0,,FiskTu00
405,John FitzPatrick,23,ATL,TE,9,0,0,0,0,0,,,,0.0,0.0,0,,FitzJo00
406,Cole Fotheringham,26,LVR,TE,2,0,0,0,0,0,,,,0.0,0.0,0,,FothCo00
407,Pat Freiermuth,25,PIT,TE,12,9,0,0,0,0,,,,0.0,0.0,0,,FreiPa00
408,Michael Gallup,27,DAL,WR,17,13,0,0,0,0,,,,0.0,0.0,0,,GallMi00
409,Mike Gesicki,28,NWE,TE,17,10,0,0,0,0,,,,0.0,0.0,0,,GesiMi00
410,Reggie Gilliam,26,BUF,FB,17,0,0,0,0,0,,,,0.0,0.0,0,,GillRe00
411,Jimmy Graham,37,NOR,TE,13,2,0,0,0,0,,,,0.0,0.0,0,,GrahJi00
412,Antoine Green,24,DET,WR,9,0,0,0,0,0,,,,0.0,0.0,0,,GreeAn00
413,Jalen Guyton,26,LAC,WR,8,3,0,0,0,0,,,,0.0,0.0,0,,GuytJa01
414,Robert Hainsey,25,TAM,C,17,17,0,0,0,0,,,,0.0,0.0,1,,HainRo00
415,Jamycal Hasty,27,JAX,RB,3,0,0,0,0,0,,,,0.0,0.0,0,,HastJa02
416,Malik Heath,23,GNB,WR,13,1,0,0,0,0,,,,0.0,0.0,0,,HeatMa00
417,Hunter Henry,29,NWE,TE,14,10,0,0,0,0,,,,0.0,0.0,1,,HenrHu00
418,Tyler Higbee,30,LAR,TE,15,15,0,0,0,0,,,,0.0,0.0,0,,HigbTy00
419,Elijah Higgins,23,ARI,TE,11,2,0,0,0,0,,,,0.0,0.0,0,,HiggEl00
420,Tee Higgins,24,CIN,WR,12,11,0,0,0,0,,,,0.0,0.0,0,,HiggTe00
421,Julian Hill,23,MIA,TE,15,4,0,0,0,0,,,,0.0,0.0,1,,HillJu02
422,T.J. Hockenson,26,MIN,TE,15,11,0,0,0,0,,,,0.0,0.0,1,,HockTJ00
423,Isaiah Hodgins,25,NYG,WR,17,9,0,0,0,0,,,,0.0,0.0,1,,HodgIs00
424,Mack Hollins,30,ATL,WR,13,3,0,0,0,0,,,,0.0,0.0,0,,HollMa00
425,Travis Homer,25,CHI,RB,16,0,0,0,0,0,,,,0.0,0.0,0,,HomeTr00
426,Austin Hooper,29,LVR,TE,17,9,0,0,0,0,,,,0.0,0.0,0,,HoopAu00
427,Brycen Hopkins,26,LAR,TE,15,0,0,0,0,0,,,,0.0,0.0,0,,HopkBr01
428,Jesper Horsted,26,LVR,TE,13,0,0,0,0,0,,,,0.0,0.0,0,,HorsJe00
429,Tanner Hudson,29,CIN,TE,12,1,0,0,0,0,,,,0.0,0.0,0,,HudsTa00
430,Lil'Jordan Humphrey,25,DEN,WR,17,8,0,0,0,0,,,,0.0,0.0,0,,HumpLi01
431,Hayden Hurst,30,CAR,TE,9,8,0,0,0,0,,,,0.0,0.0,0,,HursHa00
432,Jalin Hyatt,22,NYG,WR,17,7,0,0,0,0,,,,0.0,0.0,1,,HyatJa00
433,Andrei Iosivas,24,CIN,WR,16,1,0,0,0,0,,,,0.0,0.0,0,,IosiAn00
434,Trenton Irwin,28,CIN,WR,16,5,0,0,0,0,,,,0.0,0.0,2,,IrwiTr00
435,Shedrick Jackson,24,CIN,WR,5,0,0,0,0,0,,,,0.0,0.0,0,,JackSh01
436,Trishton Jackson,25,MIN,WR,7,0,0,0,0,0,,,,0.0,0.0,0,,JackTr02
437,Richie James,28,KAN,WR,9,1,0,0,0,0,,,,0.0,0.0,2,,JameRi00
438,Jauan Jennings,26,SFO,WR,13,2,0,0,0,0,,,,0.0,0.0,0,,JennJa00
439,Jerry Jeudy,24,DEN,WR,16,11,0,0,0,0,,,,0.0,0.0,1,,JeudJe00
440,Brandon Johnson,25,DEN,WR,13,2,0,0,0,0,,,,0.0,0.0,0,,JohnBr23
441,Collin Johnson,26,CHI,WR,3,0,0,0,0,0,,,,0.0,0.0,0,,JohnCo01
442,Diontae Johnson,27,PIT,WR,13,11,0,0,0,0,,,,0.0,0.0,1,,JohnDi01
443,Jakob Johnson,29,LVR,FB,13,5,0,0,0,0,,,,0.0,0.0,0,,JohnJa12
444,Juwan Johnson,27,NOR,TE,13,11,0,0,0,0,,,,0.0,0.0,0,,JohnJu02
445,Tyler Johnson,25,LAR,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,JohnTy00
446,Julio Jones,34,PHI,WR,11,4,0,0,0,0,,,,0.0,0.0,0,,JoneJu02
447,Marvin Jones,33,DET,WR,6,4,0,0,0,0,,,,0.0,0.0,1,,JoneMa02
448,Tim Jones,25,JAX,WR,17,2,0,0,0,0,,,,0.0,0.0,0,,JoneTi00
449,Zay Jones,28,JAX,WR,9,7,0,0,0,0,,,,0.0,0.0,0,,JoneZa00
450,Brevin Jordan,23,HOU,TE,14,6,0,0,0,0,,,,0.0,0.0,0,,JordBr00
451,Travis Kelce,34,KAN,TE,15,15,0,0,0,0,,,,0.0,0.0,1,PB,KelcTr00
